TC Id,Document,Page Number,Non compliant,Compliant,Category,Sub Bucket,Reasoning,Rule citation,Remarks
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,3,Overall sector allocation contributed to superior performance during the quarter,Overall sector allocation contributed to performance during the quarter [or specify benchmark comparison], Misleading or Unsubstantiated Claims,Unsubstantiated Superlative,The use of the superlative 'superior' to describe quarterly results is an absolute claim that lacks a defined basis of comparison or substantiation. SEC Rule 206(4)-1 prohibits misleading statements that lack a reasonable basis.,SEC Marketing Rule 206(4)-1,Absolute ranking/award claim lacks a disclosed measurement period and may mislead readers regarding current status. Please specify applicable years or remove.
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,2,Past performance is a guarantee or a reliable indicator of future results.,,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"This statement explicitly uses 'guarantee' in connection with future results, which implies certainty of outcome and is misleading in an investment context.",SEC Marketing Rule 206(4)-1,Use of 'guarantee/guaranteed' implies certainty of outcome and is misleading in an investment context. Please remove and revise to non-promissory language.
TC01,PGIM Fixed Income Multi-Asset Credit Strategy,2,Past performance is a guarantee or a reliable indicator of future results.,Past performance is not a guarantee or a reliable indicator of future results.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,SEC Marketing Rule 206(4)-1(a)(1) prohibits making any untrue statement of a material fact. Claiming past performance guarantees future results is factually incorrect and misleading to investors.,"SEC Marketing Rule 206(4)-1(a)(1), FINRA Rule 2210(d)(1)(B)",The disclosure contains a critical typographical error that inverts the meaning of the standard regulatory disclaimer. It incorrectly states that past performance is a guarantee of future results.
TC02,BlackRock Global Equity Market Neutral Fund,1,As of XX/XX/XXXX,"As of December 31, 2024",Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,Failure to provide a specific date for performance data makes the information potentially misleading as the investor cannot determine the timeliness or relevance of the data provided.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The document contains placeholder text ('XX/XX/XXXX') for the 'as of' date, which is a material omission as it fails to identify the specific period for which the performance and data are current."
TC03,BlackRock Health Sciences Opportunities Fund,1,Morningstar has awarded the Fund a BRONZE medal (Effective 12/31/2025).†,Morningstar has awarded the Fund a BRONZE medal (Effective 12/31/2024).† [or current applicable date],"Rankings, Ratings & Data Context Validation",Missing Time Period or Evaluation Date,Presenting a rating with a future effective date is factually impossible at the time of publication and constitutes a misleading statement regarding the temporal context of the award.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210","The rating effective date is listed as 12/31/2025, which is in the future. Please update to the actual current effective date to ensure temporal accuracy."
TC03,BlackRock Health Sciences Opportunities Fund,1,Rated against 167 Health Funds... Morningstar Ranking 49/176 50/167 46/149 4/118,Ensure the narrative text identifying '167 funds' matches the 1-year ranking universe of '176' (or vice versa).,"Rankings, Ratings & Data Context Validation",Inability to Validate Underlying Data,Internal inconsistencies in the reported number of funds in a peer group prevent the validation of the ranking's accuracy and may mislead the investor regarding the fund's relative standing.,"SEC Marketing Rule 206(4)-1(a)(2), FINRA Rule 2210",There is a data discrepancy between the disclosure text (167 funds) and the ranking table (176 funds for 1-year). Reconcile these figures to ensure data integrity.
TC03,BlackRock Health Sciences Opportunities Fund,1,Performance data shown represents past performance which is guarantee of future results.,Performance data shown represents past performance which is no guarantee of future results.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Falsely stating that past performance guarantees future results is a material misstatement that violates the core principle of fair and balanced communication and could mislead investors about the risks of the investment.,"SEC Marketing Rule 206(4)-1(a)(1), FINRA Rule 2210(d)(1)(B)","The disclosure contains a critical typographical error that inverts the meaning of a required regulatory disclaimer, falsely stating that past performance guarantees future results."
TC03,BlackRock Health Sciences Opportunities Fund,1,Number of Holdings -,Number of Holdings [Insert actual number of holdings],Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,"Leaving material portfolio characteristics blank or as placeholders prevents investors from understanding the diversification and composition of the fund, failing to provide a complete and accurate picture of the investment.",FINRA Rule 2210(d)(1)(A),"The 'Key Facts' section contains a dash for the 'Number of Holdings,' indicating that material data is missing or was left as a placeholder."
TC03,BlackRock Health Sciences Opportunities Fund,3,Average Market Capitalization (millions) -,Average Market Capitalization (millions) [Insert actual market capitalization value],Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,"Omitting key portfolio metrics like average market capitalization deprives investors of essential information regarding the size and risk profile of the companies in which the fund invests, which is necessary for an informed investment decision.",FINRA Rule 2210(d)(1)(A),"The 'Portfolio Characteristics' table contains a dash for 'Average Market Capitalization,' representing incomplete or missing data for a material portfolio metric."
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),1,seeks to guarantee current income and attractive risk averse return potential,seeks to provide current income and attractive risk averse return potential,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,The use of the word 'guarantee' in relation to investment income and return potential is promissory and creates a misleading expectation of certainty. SEC Rule 206(4)-1 and FINRA Rule 2210 prohibit the use of promissory language or guarantees of future performance.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210",Use of 'guarantee/guaranteed' implies certainty of outcome and is misleading in an investment context. Please remove and revise to non-promissory language.
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),2,PitchBook #1 MOST ACTIVE PE LENDER IN U.S. BUYOUTS,,Misleading or Unsubstantiated Claims,Unsubstantiated Statements,"This claim of external validation as '#1' lacks specific applicable years in the main statement, and the footnote provides an outdated year (2003) for 'Lending League Tables' which does not clearly substantiate the current '#1 MOST ACTIVE' claim. This matches Ground Truth #3 and #4.",SEC Marketing Rule 206(4)-1,"Superlative/superiority claim is unsubstantiated and may create a misleading impression. Please remove or provide supporting detail (ranking source, criteria, applicable years)."
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),2,THE M&A ADVISOR LENDER FIRM OF THE YEAR,,Misleading or Unsubstantiated Claims,Exaggerated Claims,"This award claim implies being the sole winner for a specific year, but the footnote clarifies the firm was a 'finalist' for multiple years (2021-2024), not necessarily the winner, making the main claim misleading by omission and misrepresentation of the award's nature. This matches Ground Truth #3 and #4.",SEC Marketing Rule 206(4)-1,"Superlative/superiority claim is unsubstantiated and may create a misleading impression. Please remove or provide supporting detail (ranking source, criteria, applicable years)."
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),4,The Securities and Exchange Commission and FINRA has approved our securities,,Misleading or Unsubstantiated Claims,,"This statement claims regulatory endorsement that does not exist (likely a typo omitting 'neither/nor'), which is factually false and strictly prohibited by securities laws.",,
TC04,Nuveen Churchill Private Capital Income Fund (PCAP),1,Total returns (%) [Table containing 'DD MMM YYYY' placeholders for Class S inception dates],"Total returns (%) [Table with all inception dates accurately populated with specific calendar dates (e.g., 30 Mar 2022)]",Inadequate or Missing Disclosures,Incomplete or Placeholder Disclosure Text,"Including placeholder text in a performance table prevents investors from understanding the relevant time period for the returns shown, failing to provide the necessary context for a fair and balanced presentation of the fund's performance.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The performance table contains placeholder text ('DD MMM YYYY') for the inception dates of Class S shares, leaving the context for the 'Inception to Date' (ITD) returns undefined and incomplete."
TC05,PP_Fidelity_Fidelity Multi-Strategy Credit Fund,6,PLANSPONSOR Magazine 2024 Plan Sponsors of the Year,PLANSPONSOR Magazine 2024 Plan Sponsors of the Year [Include footnote detailing methodology and selection criteria],"Rankings, Ratings & Data Context Validation",Missing Methodology or Selection Criteria,"Under the SEC Marketing Rule, advertisements containing a third-party rating must clearly and prominently disclose the criteria on which the rating was based and the period of time upon which the rating was determined.","SEC Marketing Rule 206(4)-1(c), FINRA Rule 2210",Third-party award referenced without explaining how winners were selected or the universe of participants considered. Add methodology disclosure explaining how the ranking was determined.
TC06,Franklin Income SMA,5,Consistently ranked as the best managers year over year.,Recognized by [Insert Source/Award Name] as a leading management team for [Insert Years].,Misleading or Unsubstantiated Claims,Unsubstantiated Superlative,"The claim of being 'the best' is a superlative that requires a reasonable basis. Without citing a specific third-party ranking, the criteria used, or the timeframe, the statement is unsubstantiated.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210","Superlative/superiority claim is unsubstantiated and may create a misleading impression. Please remove or provide supporting detail (ranking source, criteria, applicable years)."
TC06,Franklin Income SMA,28,We are listed as the best firm for producing top results from our customized portfolio allocation strategy.,We were recognized for our customized portfolio allocation strategy by [Source] in [Year].,Misleading or Unsubstantiated Claims,Unsubstantiated Superlative,Stating the firm is 'listed as the best' for 'top results' implies a third-party validation that is not cited. This creates a misleading impression regarding the firm's performance relative to the industry.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210","Superlative/superiority claim is unsubstantiated and may create a misleading impression. Please remove or provide supporting detail (ranking source, criteria, applicable years)."
TC08,JP Morgan Tax Harvesting Commentary,1,embrace active tax management is a very beneficial strategy.,"embrace active tax management, which may offer certain benefits depending on an investor's specific tax situation and market conditions.",Misleading or Unsubstantiated Claims,Unbalanced Benefit Statements,"The statement presents active tax management as universally beneficial without addressing the risks, such as potential for tracking error, wash-sale rule violations, or the fact that tax benefits may be offset by investment losses.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210",Language implies guaranteed or effortless investment outcomes and is misleading. Please remove or revise to eliminate any implication of guaranteed results and add proportional risk disclosure.
TC08,JP Morgan Tax Harvesting Commentary,1,market volatility will be transformed into tax savings without the need to deviate from long-term allocation goals or transition into cash.,market volatility may be leveraged for tax savings without necessarily deviating from long-term allocation goals or transitioning into cash.,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"The statement 'market volatility will be transformed into tax savings' uses promissory language, implying a certain outcome that is not guaranteed in investment strategies",SEC Marketing Rule-206(4)-1(a)(1),Use of 'guarantee/guaranteed' implies certainty of outcome and is misleading in an investment context. Please remove and revise to non-promissory language
TC08,JP Morgan Tax Harvesting Commentary,1,Volatility will surely become an integral part of contemporary markets,Volatility is expected to remain a factor in contemporary markets,Misleading or Unsubstantiated Claims,Implied Guarantees or Certainty,"The inclusion of 'surely' creates a sense of absolute certainty regarding future market behavior, which is inherently unpredictable.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210","Qualifying language was removed, increasing certainty and creating potentially misleading claims. Please restore hedging language ('may', 'expect', 'could') to reflect uncertainty."
TC08,JP Morgan Tax Harvesting Commentary,1,This is the reason why we think all retail investors should invest in JPM products.,"For these reasons, we believe JPM products may be suitable for certain retail investors seeking to manage market volatility.",Misleading or Unsubstantiated Claims,Overstated or Absolute Claims,"A blanket recommendation for 'all retail investors' to invest in proprietary products is an overstated claim that fails to account for individual suitability, risk tolerance, and unique financial objectives.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210",Language implies guaranteed or effortless investment outcomes and is misleading. Please remove or revise to eliminate any implication of guaranteed results and add proportional risk disclosure.
TC09,JP Morgan Weekly Market Recap,1,We highly recommend clients to invest in JP Morgan's Commercial Real Estate Fund to benefit from the emerging real estate trends.,We believe JP Morgan's Commercial Real Estate Fund may offer opportunities for clients interested in emerging real estate trends.,Misleading or Unsubstantiated Claims,Implied Guarantees or Certainty,"The phrase 'to benefit from' implies a certainty of positive outcome from investing in the fund, which is misleading as investment outcomes are not guaranteed, creating a misleading inference about material facts.",206(4)-1(a)(3),"Qualifying language was removed, increasing certainty and creating potentially misleading claims. Please restore hedging language ('may', 'expect', 'could') to reflect uncertainty."
TC09,JP Morgan Weekly Market Recap,2,"Unless otherwise stated, all data is as of February 17, 2026 or as of most recently available.","Unless otherwise stated, all data is as of February 17, 2025 or as of most recently available.",Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"The document is dated February 17, 2025, making the statement that 'all data is as of February 17, 2026' an untrue statement of a material fact regarding the currency of the information, which can mislead investors about the timeliness of the data.",206(4)-1(a)(1),"The statement 'all data is as of February 17, 2026' is an untrue statement of material fact given the document's February 17, 2025 date, which is misleading. Please correct the data currency date to align with the document's publication date."
TC14,Sagard Private Equity Strategies Fund,2,the team has outperformed the SMM benchmark by +510 bps over the long-term,"the team has outperformed the [Specific Index Name, e.g., Cambridge Associates US Private Equity SMM Index] by +510 bps over the [Specific Date Range, e.g., 2010-2023]","Rankings, Ratings & Data Context Validation",Missing Methodology or Selection Criteria,The Marketing Rule requires third-party comparisons to disclose the criteria and parameters on which the rating or benchmark comparison was based to ensure the comparison is fair and balanced.,"SEC Marketing Rule 206(4)-1(c), FINRA Rule 2210","The 'SMM benchmark' and 'Cambridge Benchmarks' are referenced without specifying the exact index names, the universe of funds included, or the specific time period used for 'long-term'. Add methodology disclosure explaining how the ranking was determined."
TC18,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,1,guarantee total return,seek to provide consistent total return,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"Violates JA Sub-Bucket 2 because it uses the word 'guarantee' which affirmatively converts future outcomes into certainty, despite being preceded by 'seeks to provide'. The term 'guarantee' itself is prohibited.",206(4)-1(a)(3),"Language uses 'guarantee' which affirmatively converts future outcomes into certainty. Revise to non-promissory language (e.g., 'seeks to provide consistent total return' or 'aims to provide total return')."
TC18,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,1,"returns on high yield bonds tend to be guaranteed because the income component of the return is typically larger, providing an added measure of stability absent default.","returns on high yield bonds may offer greater stability because the income component of the return is typically larger, potentially providing an added measure of stability absent default.",Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"Violates JA Sub-Bucket 2 because it uses the word 'guaranteed' which affirmatively converts future outcomes into certainty, despite being preceded by 'tend to be'. The term 'guaranteed' itself is prohibited.",206(4)-1(a)(3),"Language uses 'guaranteed' which affirmatively converts future outcomes into certainty. Revise to non-promissory language (e.g., 'returns on high yield bonds may offer greater stability' or 'income component may provide a measure of stability')."
TC18,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,1,market leader and innovator,recognized innovator in high yield bond investing,Misleading or Unsubstantiated Claims,"Overstated, absolute, or "best-in-class" claims lacking qualification","Violates JA Sub-Bucket 4 because it uses absolute language ('market leader') without definition, comparison basis, or evidentiary support. While 'innovator' can be qualitative, 'market leader' is an objective claim of dominance.",206(4)-1(a)(1),"Claim uses absolute language ('market leader') without definition, comparison basis, or evidentiary support. Provide the specific data source, timeframe, and peer group to substantiate the claim of being a 'market leader,' or remove the absolute claim."
TC18,PIMCO 0-5 Year High Yield Corporate Bond Index ETF,2,Past performance is a guarantee or a reliable indicator of future results.,Past performance is not indicative of future results.,Misleading or Unsubstantiated Claims,Promissory or Certain Outcome Language,"Violates JA Sub-Bucket 2 because it uses the word 'guarantee' and states that past performance is a 'reliable indicator' of future results, which affirmatively converts future outcomes into certainty or materially neutralizes uncertainty.",206(4)-1(a)(3),"Language uses 'guarantee' and 'reliable indicator' which affirmatively converts future outcomes into certainty or materially neutralizes uncertainty. Revise to non-promissory language (e.g., 'Past performance is not indicative of future results.')."
TC21,BlackRock Cash Funds Institutional Fund,1,The investment objective of the Fund is to not seek a high level of income consistent with liquidity and preservation of capital.,The investment objective of the Fund is to seek a high level of income consistent with liquidity and preservation of capital.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Providing an inverted investment objective is a material misstatement that misleads investors regarding the fund's strategy and intended outcomes.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The word 'not' has been incorrectly inserted into the investment objective, fundamentally misrepresenting the fund's primary goal and purpose."
TC21,BlackRock Cash Funds Institutional Fund,1,Performance data represents past performance and does guarantee future results.,Performance data represents past performance and does not guarantee future results.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,"This is a critical regulatory disclosure. Inverting its meaning violates the requirement that marketing materials must be fair, balanced, and not contain untrue statements of material fact.","SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The core risk disclosure omits the word 'not,' creating a false and prohibited guarantee that past performance ensures future success."
TC21,BlackRock Cash Funds Institutional Fund,1,Yields will not vary.,Yields will vary.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Misrepresenting the variable nature of investment yields fails to provide investors with accurate information regarding the risks and characteristics of the product.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The text incorrectly states that yields are fixed, which is factually false for a money market fund whose yields fluctuate based on market conditions."
TC21,BlackRock Cash Funds Institutional Fund,2,You could not lose money by investing in the Fund.,You could lose money by investing in the Fund.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,This is a material misstatement of risk. Investors must be clearly informed that their investment is subject to loss and is not a guaranteed bank-like product.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The disclosure incorrectly states that loss of principal is impossible. As an institutional fund with a floating NAV, principal is at risk."
TC21,BlackRock Cash Funds Institutional Fund,2,...they are guaranteed by BlackRock or any other bank.,...they are not guaranteed by BlackRock or any other bank.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Implying a guarantee where none exists is a fraudulent and misleading practice that violates core anti-fraud provisions of the SEC and FINRA.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The text claims a guarantee exists from the fund sponsor or a bank, which is factually incorrect for this type of investment security."
TC21,BlackRock Cash Funds Institutional Fund,2,Current performance will be higher than the performance date quoted.,Current performance may be lower or higher than the performance data quoted.,Inadequate or Missing Disclosures,Incorrect or Inverted Disclosure Language,Promising specific performance outcomes or claiming performance 'will be higher' is prohibited as it fails to disclose the inherent volatility and uncertainty of investment returns.,"SEC Marketing Rule 206(4)-1, FINRA Rule 2210(d)(1)","The text makes a definitive, promissory statement that current performance is superior to the historical data shown, which is misleading and speculative."
